Start Date,AL,AK,AS,AZ,AR,CA,CO,CT,DE,DC,FM,FL,GA,GU,HI,ID,IL,IN,IA,KS,KY,LA,ME,MH,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,MP,OH,OK,OR,PW,PA,PR,RI,SC,SD,TN,TX,UT,VT,VI,VA,WA,WV,WI,WY,Unknown
03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02,0,0,0,1,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
03-03,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
03-04,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,31,0,0,0,0
03-05,0,0,0,1,0,8,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,5,0,1,0,0,0,1,1,0,0,0,13,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0
03-06,0,0,0,2,0,23,4,2,0,0,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,0,0,1,3,0,0,0,1,2,0,0,4,1,0,0,0,24,0,0,0,-24
03-07,0,0,0,0,0,16,0,-1,0,0,0,3,-1,0,0,0,1,1,0,1,0,0,0,0,2,17,0,0,0,1,0,0,2,4,1,0,30,0,0,0,0,0,8,0,4,0,0,0,0,2,3,0,1,0,2,21,0,0,0,-19
03-08,0,0,0,0,0,6,0,0,0,0,0,3,5,0,1,0,0,1,3,0,3,1,0,0,0,0,0,1,0,0,0,2,0,-1,0,0,36,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
03-09,0,0,0,1,0,40,7,1,0,5,0,1,7,0,0,0,5,3,5,0,2,0,0,0,3,68,0,1,0,0,0,0,0,-1,10,0,31,5,0,0,3,1,1,0,5,0,0,1,0,4,-1,1,0,0,5,139,0,2,0,19
03-10,0,0,0,3,1,33,19,1,1,5,0,13,6,0,0,0,13,5,5,0,2,5,0,0,1,3,2,2,0,0,1,2,3,1,8,3,47,0,0,0,1,0,4,0,4,0,2,3,8,2,8,1,0,0,2,99,0,3,0,0
03-11,0,0,0,0,5,44,11,2,0,0,0,7,8,0,0,0,7,2,3,0,2,13,0,0,3,13,0,4,1,0,0,5,7,1,6,2,108,8,1,0,1,0,5,0,6,0,0,2,0,9,6,2,1,0,8,76,0,2,1,0
03-12,5,1,0,0,0,61,4,6,3,0,0,15,11,0,0,1,14,0,1,4,4,17,1,0,6,15,14,5,0,1,0,3,3,0,0,5,93,2,0,0,8,0,6,0,19,0,9,1,0,8,16,4,0,0,13,126,0,11,0,0
03-13,1,-1,0,3,6,58,52,11,2,0,0,26,24,0,2,1,18,3,0,3,0,41,2,0,8,15,9,7,5,2,4,1,4,1,40,0,104,7,0,0,13,2,2,0,6,3,6,6,1,6,14,1,3,0,11,4,0,8,1,-20
03-14,6,1,0,1,4,86,30,2,1,6,0,39,33,3,2,3,29,4,1,0,6,14,9,0,6,26,8,14,4,1,2,3,3,6,29,3,207,9,0,0,11,3,4,0,19,2,0,9,0,7,15,18,3,0,4,71,0,5,1,0
03-15,17,0,0,5,6,131,29,6,1,6,0,40,22,0,1,0,12,5,5,3,1,45,5,0,9,33,20,19,3,1,0,1,21,4,80,4,235,5,0,0,13,3,3,0,11,0,1,5,1,13,13,11,4,1,4,261,0,15,0,19
03-16,10,2,0,2,0,141,0,38,8,0,0,61,25,0,3,3,56,5,0,7,5,60,15,0,19,21,12,6,8,5,2,3,11,9,89,6,739,26,2,0,17,9,27,0,35,0,2,14,1,22,25,12,0,1,18,172,1,25,8,1
03-17,7,3,0,7,11,53,24,0,3,9,0,98,53,2,4,1,1,9,6,0,1,61,10,0,25,0,18,17,13,7,2,3,-1,0,0,0,789,6,3,0,19,0,2,0,40,0,10,0,0,5,63,0,6,0,10,-62,0,20,4,-20
03-18,32,3,0,18,29,201,93,91,11,9,0,103,88,7,2,2,260,21,15,16,10,135,10,0,22,110,251,12,16,13,0,5,40,18,475,12,2870,53,12,0,33,25,20,0,54,0,11,34,0,75,87,29,4,1,22,362,1,67,3,0
03-19,5,3,0,33,34,225,86,35,8,31,0,146,133,2,10,12,163,26,1,10,10,146,4,0,42,85,218,26,30,22,4,8,19,0,148,8,2945,49,1,0,54,5,26,0,97,9,10,45,3,79,134,-2,7,-3,23,148,5,48,1,0
03-20,48,3,0,40,26,187,27,0,7,6,0,96,87,1,11,13,168,42,23,13,40,47,14,0,44,112,236,23,60,21,6,1,47,11,437,0,3400,81,9,0,75,4,0,0,93,7,12,45,0,138,187,58,0,0,34,269,1,75,4,0
03-21,26,5,0,34,43,282,201,133,11,25,0,345,114,12,16,6,296,76,22,8,16,252,19,0,51,121,247,29,67,13,13,13,29,19,587,14,4090,52,0,0,108,14,47,0,113,2,17,25,7,134,62,26,23,6,64,204,8,99,3,3
03-22,39,10,0,83,27,462,113,88,12,18,0,223,151,2,3,26,236,66,15,19,20,335,18,0,46,131,294,67,42,100,0,0,55,27,930,26,5084,48,2,0,87,14,30,0,189,8,23,102,7,109,115,95,23,1,34,224,0,44,0,24
03-23,46,4,0,91,27,430,19,203,36,21,0,185,254,3,34,13,252,98,19,16,39,216,11,0,59,382,464,27,71,70,17,15,33,0,831,17,4797,142,6,0,124,25,19,0,248,8,18,44,2,158,197,41,20,10,39,107,6,56,3,-28
03-24,139,7,0,75,61,460,298,257,15,46,0,270,221,5,1,10,328,109,22,34,35,407,24,0,76,679,503,25,57,97,14,5,45,7,727,13,5160,95,9,0,137,58,56,0,314,12,8,82,11,144,274,42,30,0,103,263,17,140,15,0
03-25,136,15,0,107,55,901,409,137,11,44,0,675,278,8,4,55,673,168,33,38,50,509,13,0,158,579,549,58,108,166,25,3,97,29,2474,0,7036,148,6,0,164,84,50,0,535,13,33,0,5,181,334,56,33,0,70,616,13,107,9,0
03-26,70,2,0,157,46,758,3,279,33,40,0,543,475,6,11,59,486,334,56,34,54,440,13,0,192,823,789,52,94,146,19,8,116,21,1949,23,6999,149,17,0,269,74,100,0,550,15,38,118,12,221,374,76,26,2,141,270,24,198,17,0
03-27,107,27,0,108,28,438,307,233,51,33,0,863,366,4,43,29,467,254,63,60,92,571,43,0,220,1017,1016,45,84,170,20,14,90,29,2299,72,7534,133,26,0,269,55,63,0,500,21,36,118,10,193,518,130,27,3,133,553,20,129,12,0
03-28,131,17,0,146,17,757,567,469,18,38,0,483,285,1,0,47,1105,280,38,64,45,225,42,0,244,698,838,62,96,79,25,12,294,27,2262,29,7238,171,4,0,247,52,69,0,587,27,55,114,22,209,337,118,24,-22,150,435,17,109,4,0
03-29,74,12,0,238,47,1286,4,578,32,59,0,1227,157,2,26,59,460,273,88,42,41,485,22,0,174,797,1010,73,88,136,17,37,92,100,3250,0,7015,122,11,0,280,52,58,0,723,47,114,151,11,197,355,84,21,0,130,458,32,66,8,0
03-30,88,5,0,132,50,1072,655,557,55,94,0,1268,1121,11,29,175,938,372,73,62,149,1212,28,0,247,868,1117,53,90,306,27,27,102,43,2060,78,9170,222,13,2,266,87,84,0,808,65,80,158,7,474,662,84,37,30,229,509,17,182,15,0
03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
